Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,24.129964,0,1.7976931348623157E308,-1,0.0,0.0,1,24.129964,0,0.0,SAT,,0.054,
2,2,1,10.506681,0,1.7976931348623157E308,-1,0.0,0.0,1,10.506681,1,0.0,SAT,,0.062,
3,3,1,49.678315,0,1.7976931348623157E308,-1,0.0,0.0,1,49.678315,1,0.0,SAT,,0.086,
4,4,1,20.873909,0,1.7976931348623157E308,-1,0.0,0.0,1,20.873909,1,0.0,SAT,,0.058,
5,5,1,64.932772,0,1.7976931348623157E308,-1,0.0,0.0,1,64.932772,1,0.0,SAT,,0.065,
6,6,1,9.367661,0,1.7976931348623157E308,-1,0.0,0.0,1,9.367661,1,0.0,SAT,,0.064,
7,7,1,17.135486,0,1.7976931348623157E308,-1,0.0,0.0,1,17.135486,1,0.0,SAT,,0.064,
8,8,1,34.420234,0,1.7976931348623157E308,-1,0.0,0.0,1,34.420234,1,0.0,SAT,,0.057,
9,9,1,12.078756,0,1.7976931348623157E308,-1,0.0,0.0,1,12.078756,1,0.0,SAT,,0.063,
10,10,1,41.968764,0,1.7976931348623157E308,-1,0.0,0.0,1,41.968764,1,0.0,SAT,,0.06,
11,11,1,130.568333,0,1.7976931348623157E308,-1,0.0,0.0,1,130.568333,1,0.0,SAT,,0.065,
12,12,1,63.107376,0,1.7976931348623157E308,-1,0.0,0.0,1,63.107376,1,0.0,SAT,,0.063,
13,13,1,0.971436,0,1.7976931348623157E308,-1,0.0,0.0,1,0.971436,2,0.0,SAT,,0.091,
14,14,1,19.92921,0,1.7976931348623157E308,-1,0.0,0.0,1,19.92921,2,0.0,SAT,,0.093,
15,15,1,1.544919,0,1.7976931348623157E308,-1,0.0,0.0,1,1.544919,2,0.0,SAT,,0.085,
16,16,1,74.972286,0,1.7976931348623157E308,-1,0.0,0.0,1,74.972286,2,0.0,SAT,,0.093,
17,17,1,6.605505,0,1.7976931348623157E308,-1,0.0,0.0,1,6.605505,2,0.0,SAT,,0.065,
18,18,1,64.286945,0,1.7976931348623157E308,-1,0.0,0.0,1,64.286945,2,0.0,SAT,,0.06,
19,19,1,19.017258,0,1.7976931348623157E308,-1,0.0,0.0,1,19.017258,2,0.0,SAT,,0.059,
20,20,1,25.324575,0,1.7976931348623157E308,-1,0.0,0.0,1,25.324575,2,0.0,SAT,,0.06,
21,21,1,5.726241,0,1.7976931348623157E308,-1,0.0,0.0,1,5.726241,2,0.0,SAT,,0.061,
22,22,1,10.247525,0,1.7976931348623157E308,-1,0.0,0.0,1,10.247525,2,0.0,SAT,,0.058,
